,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-919,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,103.16,9.7297,8.70375,0.0697966,0.841056,0.00860906,0.00597519,0.0295964,0.0987699,0.10603,7.42524,0.118685
max_1024,128.692,12.9639,10.9988,0.11104,3.10886,0.08192,0.034816,0.053152,0.11504,0.454656,9.26451,0.459584
min_1024,77.1375,7.77051,8.22115,0.065536,0.730336,0.006144,0.004352,0.027648,0.096224,0.096288,7.056,0.112512
512,116.383,8.59229,8.66995,0.066304,0.786432,0.008192,0.006048,0.028768,0.097984,0.098624,7.46291,0.114688
513,103.148,9.69482,9.13843,0.070144,0.794336,0.00848,0.006144,0.028672,0.098304,0.097632,7.92144,0.11328
514,99.1864,10.082,8.33539,0.069664,0.84112,0.008064,0.005888,0.02912,0.098048,0.09856,7.07187,0.113056
515,102.508,9.75537,8.72112,0.070368,0.823296,0.008192,0.006144,0.028672,0.099488,0.0992,7.47107,0.114688
516,93.563,10.688,9.01123,0.069024,1.51203,0.008192,0.005984,0.028832,0.097952,0.098592,7.0775,0.11312
517,111.093,9.00146,8.6567,0.069632,0.749024,0.008032,0.004832,0.029888,0.104352,0.098688,7.47696,0.115296
518,103.434,9.66797,9.01482,0.071136,0.784928,0.008192,0.006144,0.030176,0.106368,0.41232,7.48134,0.114208
519,95.2647,10.4971,9.46589,0.069536,1.0999,0.008192,0.00576,0.029056,0.098304,0.098368,7.94208,0.114688
520,99.0377,10.0972,9.3313,0.071488,0.749952,0.008032,0.005824,0.028928,0.097952,0.098592,8.15584,0.114688
521,96.2135,10.3936,8.27245,0.068064,0.761056,0.008032,0.005056,0.030048,0.098848,0.099808,7.08675,0.114784
522,109.771,9.10986,8.26074,0.069632,0.757376,0.008448,0.005632,0.029312,0.09952,0.099136,7.07379,0.117888
523,107.214,9.32715,8.25386,0.069152,0.756576,0.008192,0.00576,0.028832,0.09776,0.09712,7.07574,0.11472
524,103.822,9.63184,9.41056,0.069408,1.07542,0.008128,0.005824,0.029056,0.098144,0.097728,7.91216,0.114688
525,98.282,10.1748,8.31488,0.071136,0.807392,0.008256,0.00592,0.028896,0.096288,0.098304,7.084,0.114688
526,107.332,9.31689,8.31283,0.068224,0.814752,0.00816,0.005824,0.02896,0.096672,0.098304,7.07786,0.11408
527,100.142,9.98584,9.32122,0.06944,0.975328,0.008032,0.004704,0.028704,0.103584,0.098496,7.91616,0.116768
528,104.94,9.5293,8.2903,0.069472,0.766112,0.008288,0.006048,0.028672,0.098304,0.098304,7.10042,0.114688
529,101.221,9.87939,8.76058,0.069632,0.880672,0.00816,0.00576,0.029056,0.09744,0.098688,7.45638,0.114784
530,103.649,9.64795,10.4734,0.069632,0.786432,0.008192,0.006144,0.028672,0.098304,0.098304,9.26451,0.113248
531,87.9838,11.3657,8.28346,0.075776,0.777952,0.008192,0.005568,0.029216,0.097664,0.099264,7.07526,0.11456
532,106.473,9.39209,8.69619,0.075296,0.811232,0.008064,0.005824,0.029024,0.096864,0.098304,7.45882,0.112768
533,99.4996,10.0503,8.63917,0.06816,1.15018,0.007296,0.005952,0.02864,0.098176,0.097984,7.06938,0.113408
534,107.507,9.30176,8.26003,0.069696,0.762208,0.008224,0.006112,0.028704,0.100192,0.098624,7.0695,0.116768
535,106.329,9.40479,8.33536,0.069664,0.820608,0.008096,0.0048,0.03184,0.09712,0.09824,7.09174,0.113248
536,107.603,9.29346,9.51558,0.069408,0.862976,0.007744,0.004544,0.028672,0.098304,0.34816,7.98106,0.11472
537,79.8098,12.5298,8.25962,0.07152,0.768192,0.008416,0.005888,0.028704,0.098272,0.098304,7.06701,0.113312
538,97.7099,10.2344,9.94918,0.069376,0.817024,0.008352,0.005792,0.029248,0.098304,0.098176,8.70995,0.11296
539,112.583,8.88232,9.87552,0.069728,0.79664,0.008192,0.00592,0.028896,0.097632,0.096928,8.65677,0.114816
540,95.8084,10.4375,8.69174,0.069632,0.800256,0.008064,0.005824,0.029632,0.100032,0.098624,7.46672,0.11296
541,101.784,9.82471,9.1607,0.069632,0.777888,0.008352,0.005568,0.02896,0.097792,0.098656,7.9592,0.114656
542,100.191,9.98096,8.25344,0.069376,0.76624,0.008192,0.005888,0.028896,0.098304,0.098304,7.06554,0.112704
543,101.683,9.83447,9.57066,0.065856,0.808416,0.00832,0.005568,0.029376,0.097792,0.097056,8.3456,0.112672
544,92.9009,10.7642,8.54278,0.06816,1.05677,0.008192,0.006144,0.028704,0.098304,0.098272,7.0647,0.113536
545,111.839,8.94141,9.1343,0.07184,0.76816,0.008192,0.005888,0.028928,0.097536,0.098336,7.94086,0.11456
546,98.9372,10.1074,9.51914,0.070944,0.76464,0.007776,0.005824,0.02896,0.096704,0.098304,8.33331,0.112672
547,95.8398,10.4341,8.67571,0.069152,0.754432,0.00752,0.004992,0.030112,0.096864,0.098336,7.49882,0.115488
548,103.597,9.65283,10.3117,0.071232,0.74592,0.00816,0.005856,0.028928,0.098368,0.097728,9.14285,0.11264
549,88.1012,11.3506,9.1249,0.069536,0.755808,0.008096,0.0056,0.02896,0.098144,0.0968,7.94563,0.11632
550,100.644,9.93604,8.24525,0.069536,0.748864,0.00832,0.006784,0.028704,0.097856,0.098144,7.07357,0.113472
551,107.563,9.29688,8.25437,0.068544,0.759776,0.008064,0.005568,0.028832,0.098016,0.097088,7.07379,0.114688
552,102.61,9.74561,9.16477,0.069632,0.824544,0.00832,0.005856,0.029504,0.098432,0.100192,7.91363,0.114656
553,99.2104,10.0796,8.28995,0.069056,0.791104,0.008224,0.005984,0.0288,0.097472,0.097152,7.07782,0.114336
554,104.629,9.55762,9.77568,0.069632,1.04096,0.008224,0.006112,0.028768,0.098208,0.099776,8.30726,0.116736
555,94.3692,10.5967,8.50214,0.068448,1.0112,0.008768,0.00608,0.032032,0.096992,0.098336,7.06752,0.112768
556,108.498,9.2168,8.26413,0.068448,0.759808,0.00816,0.005824,0.029024,0.098336,0.098304,7.0737,0.122528
557,108.861,9.18604,8.62237,0.069856,0.743744,0.008192,0.005856,0.028928,0.098336,0.098336,7.45059,0.118528
558,98.2207,10.1812,8.91494,0.069184,1.42586,0.00768,0.005824,0.028928,0.09792,0.098496,7.068,0.113056
559,109.297,9.14941,8.26336,0.069664,0.763296,0.008032,0.004864,0.029696,0.097248,0.098336,7.07722,0.115008
560,108.521,9.21484,8.63674,0.069312,0.758304,0.00816,0.005856,0.028704,0.100736,0.098304,7.45395,0.113408
561,103.169,9.69287,8.28211,0.069184,0.78656,0.008064,0.004608,0.030048,0.09808,0.097088,7.07546,0.113024
562,107.744,9.28125,8.27635,0.076128,0.781824,0.008032,0.005824,0.02896,0.098016,0.098624,7.0641,0.114848
563,109.607,9.12354,8.64592,0.070784,0.760704,0.008192,0.00608,0.028736,0.09776,0.098432,7.46128,0.113952
564,102.925,9.71582,8.26813,0.06816,0.784384,0.008256,0.00608,0.028704,0.098272,0.097728,7.06208,0.114464
565,108.028,9.25684,8.65034,0.069312,0.771808,0.00832,0.005632,0.02928,0.09664,0.098304,7.45472,0.11632
566,103.618,9.65088,9.11974,0.069632,0.770048,0.008256,0.00608,0.02976,0.097248,0.098304,7.92749,0.112928
567,91.6413,10.9121,9.40358,0.069344,1.05232,0.008288,0.00464,0.029984,0.097024,0.098304,7.92778,0.115904
568,101.628,9.83984,8.26336,0.071648,0.769312,0.008064,0.005088,0.029824,0.097088,0.099456,7.06851,0.114368
569,109.402,9.14062,9.50067,0.069664,0.745216,0.007552,0.00496,0.028672,0.098304,0.098304,8.3345,0.113504
570,93.8287,10.6577,8.66531,0.069856,0.751168,0.00816,0.005856,0.02912,0.098624,0.098304,7.49059,0.113632
571,106.076,9.42725,8.24528,0.06912,0.756224,0.008192,0.005568,0.029056,0.09648,0.098272,7.06906,0.113312
572,109.215,9.15625,8.63421,0.068384,0.751648,0.008192,0.005888,0.028896,0.098336,0.098272,7.46077,0.113824
573,98.8369,10.1177,9.11594,0.070144,0.751616,0.008192,0.006144,0.028672,0.09792,0.0984,7.94038,0.114464
574,105.545,9.47461,8.25219,0.068448,0.751264,0.008032,0.005824,0.029024,0.098272,0.098016,7.07862,0.114688
575,107.298,9.31982,9.09939,0.0688,0.75568,0.008384,0.004896,0.028672,0.098304,0.10016,7.91715,0.117344
576,97.9436,10.21,8.25283,0.067936,0.759616,0.008032,0.005824,0.029088,0.098208,0.098336,7.07184,0.113952
577,106.081,9.42676,9.23776,0.06928,0.86032,0.008128,0.0056,0.031552,0.104416,0.098112,7.94547,0.11488
578,97.6354,10.2422,8.96227,0.069472,0.782432,0.007648,0.005024,0.02992,0.098016,0.097248,7.45677,0.415744
579,100.274,9.97266,8.26726,0.07168,0.765952,0.008192,0.005824,0.028992,0.098304,0.106304,7.06784,0.114176
580,109.232,9.15479,8.25254,0.069664,0.75296,0.00832,0.00592,0.02912,0.09808,0.100896,7.07174,0.11584
581,109.361,9.14404,8.25549,0.069536,0.755232,0.008064,0.006368,0.029152,0.09632,0.099392,7.07674,0.114688
582,108.366,9.22803,9.5144,0.069632,0.77824,0.008032,0.005696,0.02912,0.098464,0.098336,8.31222,0.114656
583,95.97,10.4199,8.25578,0.0712,0.758464,0.00752,0.004832,0.03008,0.096896,0.099424,7.07398,0.113376
584,108.965,9.17725,8.24144,0.068224,0.74752,0.008192,0.006144,0.028672,0.098304,0.097984,7.07206,0.114336
585,107.45,9.30664,9.15939,0.06656,0.804224,0.008064,0.006432,0.02912,0.098336,0.098272,7.93133,0.117056
586,97.0156,10.3076,8.43162,0.069632,0.92096,0.00832,0.005824,0.029536,0.098112,0.097792,7.08829,0.113152
587,111.547,8.96484,8.22115,0.069216,0.73616,0.00816,0.006144,0.028672,0.097568,0.097024,7.06506,0.113152
588,109.104,9.16553,9.11581,0.068032,0.770048,0.008224,0.007616,0.029216,0.098304,0.100352,7.91878,0.115232
589,99.4609,10.0542,8.24435,0.0696,0.750848,0.008032,0.005056,0.028672,0.103968,0.098176,7.06589,0.114112
590,109.56,9.12744,8.66973,0.068512,0.778208,0.008224,0.006144,0.029856,0.09712,0.1024,7.46624,0.113024
591,103.44,9.66748,9.15434,0.069664,0.808928,0.008192,0.006144,0.0288,0.098016,0.098016,7.92211,0.114464
592,100.427,9.95752,8.23344,0.068064,0.735232,0.008448,0.00752,0.029088,0.1024,0.099392,7.06982,0.113472
593,106.175,9.41846,8.64461,0.06944,0.753856,0.008192,0.006016,0.0288,0.09792,0.098304,7.46736,0.11472
594,103.707,9.64258,9.17946,0.070368,0.805056,0.008032,0.005888,0.028992,0.104576,0.112672,7.92982,0.114048
595,99.4513,10.0552,8.25539,0.069536,0.755136,0.00672,0.006144,0.028672,0.104128,0.104864,7.06554,0.114656
596,108.907,9.18213,8.63846,0.070848,0.746144,0.00832,0.006176,0.030016,0.099008,0.100352,7.46483,0.112768
597,98.249,10.1782,8.65296,0.09024,1.13645,0.008064,0.005024,0.028672,0.097728,0.096832,7.07584,0.114112
598,109.783,9.10889,8.26643,0.068416,0.774144,0.008192,0.007232,0.02928,0.098368,0.09856,7.06698,0.115264
599,106.884,9.35596,9.01011,0.070432,0.81712,0.008288,0.005728,0.029088,0.096256,0.098304,7.4704,0.414496
600,101.507,9.85156,8.2496,0.070528,0.74752,0.008192,0.006144,0.028672,0.098336,0.098272,7.07494,0.116992
601,103.696,9.64355,8.30262,0.069664,0.788448,0.008224,0.006112,0.028672,0.098304,0.098304,7.08941,0.115488
602,109.122,9.16406,9.44755,0.06944,0.745408,0.006528,0.006144,0.028672,0.102144,0.100096,7.93379,0.455328
603,96.2994,10.3843,8.28211,0.069376,0.780576,0.00816,0.007168,0.02896,0.096992,0.099936,7.0761,0.114848
604,96.5218,10.3604,8.35174,0.069632,0.84752,0.008032,0.005856,0.035616,0.100352,0.106592,7.06518,0.11296
605,123.918,8.06982,8.24909,0.069088,0.754688,0.008192,0.006048,0.028704,0.106016,0.098848,7.06355,0.113952
606,101.336,9.86816,9.41334,0.069344,1.05312,0.008096,0.005824,0.029248,0.09808,0.102688,7.93229,0.114656
607,98.3481,10.168,8.2985,0.07168,0.780288,0.008032,0.014496,0.028704,0.097728,0.097952,7.08493,0.114688
608,109.701,9.11572,9.48806,0.06992,0.746688,0.008128,0.005088,0.02976,0.097216,0.098304,8.31898,0.113984
609,93.3583,10.7114,8.6385,0.071488,0.766144,0.008224,0.006048,0.028736,0.098304,0.09952,7.4473,0.112736
610,103.34,9.67676,8.26134,0.06912,0.767968,0.008032,0.005088,0.029792,0.096992,0.098304,7.07168,0.114368
611,108.595,9.2085,9.54938,0.066656,0.765888,0.007264,0.006016,0.028672,0.098432,0.099584,8.35965,0.117216
612,90.0576,11.104,8.96,0.069568,1.464,0.008032,0.005792,0.031616,0.09776,0.098848,7.07088,0.113504
613,108.653,9.20361,8.67123,0.0696,0.757792,0.008192,0.006176,0.02864,0.098304,0.099648,7.47181,0.131072
614,95.7681,10.4419,9.18618,0.07056,0.798688,0.008192,0.005824,0.02896,0.097568,0.098464,7.96493,0.112992
615,102.785,9.729,8.66547,0.069088,0.764864,0.008224,0.0072,0.02896,0.096928,0.116736,7.46029,0.113184
616,102.053,9.79883,9.10541,0.069632,0.75776,0.008192,0.005952,0.028864,0.098304,0.100352,7.92371,0.11264
617,98.4048,10.1621,8.29347,0.069632,0.796672,0.008192,0.005728,0.029088,0.097344,0.097216,7.07568,0.11392
618,93.469,10.6987,9.23651,0.065536,0.872192,0.018688,0.005984,0.03488,0.0984,0.098336,7.92963,0.112864
619,104.805,9.5415,9.59325,0.069152,0.846496,0.008032,0.005568,0.028992,0.098944,0.098304,8.3248,0.11296
620,94.5696,10.5742,8.67331,0.069312,0.794272,0.008352,0.005856,0.02944,0.098336,0.098304,7.45462,0.114816
621,99.8829,10.0117,8.79619,0.069088,1.29866,0.008096,0.005632,0.031648,0.097792,0.098592,7.07379,0.112896
622,102.277,9.77734,9.61536,0.077824,0.84096,0.006944,0.006112,0.028672,0.098464,0.106336,8.33536,0.114688
623,88.6964,11.2744,8.80435,0.069632,1.30048,0.008192,0.006144,0.032672,0.09744,0.098336,7.0785,0.11296
624,110.048,9.08691,8.65891,0.070176,0.77344,0.008064,0.005024,0.02992,0.098272,0.098656,7.46115,0.114208
625,102.175,9.78711,9.20762,0.06832,0.833472,0.008064,0.005568,0.028928,0.113152,0.09744,7.93891,0.11376
626,98.8894,10.1123,8.33027,0.068896,0.79552,0.008032,0.006144,0.053152,0.098112,0.098592,7.07581,0.126016
627,103.221,9.68799,8.72173,0.07072,0.82224,0.00816,0.006144,0.028672,0.108544,0.103456,7.4591,0.114688
628,99.3837,10.062,8.66307,0.067936,1.15917,0.008096,0.005824,0.029024,0.09744,0.09728,7.08394,0.114368
