,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-921,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,34.5779,28.9449,27.3605,0.131613,1.46838,0.00889434,0.00614594,0.139566,0.190345,0.190993,24.9983,0.226256
max_1024,39.9314,32.0078,29.3297,0.169984,2.77827,0.06784,0.02272,0.158784,0.610336,0.515232,26.9394,0.589888
min_1024,31.2424,25.043,26.6159,0.127232,1.32582,0.006752,0.004128,0.133952,0.185056,0.186528,24.3855,0.220992
512,34.8881,28.6631,28.2665,0.12864,1.70957,0.008352,0.004832,0.137216,0.187968,0.197056,25.6691,0.223808
513,35.5198,28.1533,27.1504,0.130816,1.44957,0.008288,0.0048,0.139104,0.194624,0.190016,24.8117,0.221408
514,34.1459,29.2861,26.6586,0.131104,1.34064,0.00832,0.005792,0.139584,0.188192,0.188864,24.433,0.223104
515,33.195,30.125,28.1553,0.130624,1.6031,0.008448,0.004768,0.139264,0.188416,0.189856,25.6681,0.222784
516,36.3598,27.5029,26.7041,0.131808,1.3745,0.008384,0.005952,0.137216,0.189568,0.188576,24.4354,0.23264
517,34.6696,28.8438,28.2723,0.132832,1.69706,0.00832,0.004992,0.149504,0.1864,0.189728,25.674,0.22944
518,32.3805,30.8828,28.0371,0.130336,1.49578,0.007424,0.004864,0.140896,0.18816,0.189088,25.6574,0.2232
519,35.3506,28.2881,26.8259,0.13088,1.51776,0.008192,0.006016,0.138432,0.187328,0.18992,24.4249,0.222528
520,35.0781,28.5078,26.8159,0.131072,1.48998,0.00832,0.004928,0.140416,0.188672,0.189056,24.4405,0.223008
521,35.0697,28.5146,28.0686,0.13136,1.50499,0.00832,0.0048,0.138432,0.190496,0.190528,25.6777,0.221984
522,33.8557,29.5371,26.8102,0.13488,1.46589,0.00864,0.005696,0.148224,0.188128,0.188128,24.4455,0.225152
523,34.6156,28.8887,26.843,0.130432,1.52029,0.008192,0.006112,0.139264,0.19456,0.188416,24.4285,0.227168
524,35.3128,28.3184,28.1293,0.131072,1.47866,0.009216,0.011264,0.138912,0.186752,0.188384,25.7618,0.223232
525,33.1789,30.1396,26.7531,0.130816,1.44819,0.008192,0.00608,0.13728,0.192512,0.189856,24.4179,0.22224
526,35.0829,28.5039,27.6193,0.145408,1.39418,0.008576,0.005696,0.141888,0.196192,0.190592,25.3151,0.221664
527,34.3095,29.1465,27.9869,0.131456,1.42566,0.00832,0.005632,0.139488,0.18688,0.190272,25.6756,0.223648
528,33.9365,29.4668,26.8141,0.131072,1.49459,0.008288,0.006016,0.141248,0.188,0.187328,24.4304,0.227168
529,34.22,29.2227,27.2876,0.129024,1.59862,0.017248,0.005952,0.137408,0.187808,0.188128,24.7999,0.223488
530,33.6909,29.6816,28.8584,0.131104,2.28944,0.018336,0.005664,0.137984,0.188448,0.189408,25.6748,0.223232
531,34.9333,28.626,26.7653,0.131072,1.44794,0.008192,0.006048,0.137344,0.189888,0.191008,24.4321,0.221696
532,35.2787,28.3457,26.794,0.132384,1.47053,0.008608,0.005632,0.140032,0.191744,0.189184,24.434,0.22192
533,35.4804,28.1846,27.9306,0.130976,1.32928,0.008192,0.006016,0.13936,0.186368,0.192064,25.7145,0.22384
534,33.95,29.4551,26.7132,0.131296,1.36579,0.009248,0.005088,0.139264,0.188448,0.189408,24.4562,0.228416
535,35.2338,28.3818,26.7612,0.131072,1.45197,0.008288,0.0056,0.13568,0.18784,0.188096,24.4274,0.22528
536,33.8322,29.5576,28.1477,0.131072,1.58656,0.008352,0.005632,0.137824,0.186752,0.188416,25.6814,0.221664
537,34.6684,28.8447,28.0716,0.130688,1.51136,0.00832,0.005568,0.141504,0.187104,0.190464,25.6737,0.222848
538,33.772,29.6104,26.8032,0.131072,1.4761,0.008288,0.005824,0.135904,0.187808,0.187008,24.4469,0.224288
539,35.3225,28.3105,28.0044,0.13312,1.4192,0.008256,0.006016,0.138528,0.186528,0.187072,25.698,0.227648
540,34.1322,29.2979,26.6991,0.130304,1.38934,0.00816,0.00608,0.13648,0.1872,0.188384,24.4224,0.230752
541,34.9822,28.5859,27.9943,0.129376,1.40877,0.008128,0.005568,0.137952,0.1864,0.188384,25.7065,0.223232
542,33.7219,29.6543,27.9201,0.13056,1.35219,0.008192,0.006176,0.1368,0.19248,0.194976,25.6758,0.222976
543,33.8255,29.5635,26.7094,0.131296,1.38752,0.00832,0.0048,0.14272,0.19072,0.18864,24.4287,0.226688
544,34.6215,28.8838,26.8473,0.13312,1.5088,0.008288,0.014656,0.13536,0.188384,0.190272,24.4447,0.223648
545,34.8714,28.6768,28.0038,0.132832,1.43434,0.008416,0.00592,0.139264,0.186368,0.189856,25.6805,0.226368
546,34.7767,28.7549,26.6801,0.131008,1.35197,0.008288,0.0056,0.137696,0.186912,0.188448,24.4428,0.227328
547,35.0361,28.542,26.6553,0.129568,1.34349,0.008192,0.005248,0.136096,0.188384,0.1896,24.433,0.221696
548,33.4444,29.9004,28.2441,0.129408,1.66198,0.01824,0.005056,0.139232,0.200064,0.188544,25.6794,0.222208
549,36.0589,27.7324,26.6661,0.14336,1.32678,0.00832,0.0056,0.14208,0.188416,0.190112,24.4391,0.222304
550,34.9012,28.6523,27.941,0.130976,1.37882,0.00832,0.0056,0.139936,0.188416,0.192512,25.6717,0.224768
551,33.4684,29.8789,28.129,0.132896,1.58461,0.008352,0.004832,0.136704,0.18688,0.188416,25.6591,0.227168
552,34.0731,29.3486,26.8022,0.130176,1.50326,0.008352,0.004928,0.137184,0.188352,0.18832,24.4184,0.223232
553,34.7826,28.75,27.1703,0.129472,1.45408,0.008192,0.005856,0.143648,0.194464,0.188512,24.8238,0.222272
554,34.7649,28.7646,27.9556,0.133728,1.37379,0.008288,0.00576,0.137888,0.189984,0.190592,25.6922,0.22336
555,33.9017,29.4971,26.7644,0.132928,1.43379,0.008416,0.00592,0.141056,0.186624,0.18976,24.4225,0.243488
556,35.1733,28.4307,26.7121,0.13312,1.37974,0.008448,0.005696,0.137024,0.18736,0.188448,24.449,0.223232
557,35.0397,28.5391,27.914,0.131072,1.35734,0.008448,0.005568,0.1392,0.186752,0.188,25.6741,0.223456
558,34.0426,29.375,26.741,0.13056,1.42211,0.008192,0.006016,0.139328,0.18816,0.188512,24.4349,0.223232
559,35.4301,28.2246,26.717,0.129888,1.4128,0.008448,0.0056,0.137824,0.187424,0.18736,24.4244,0.223232
560,35.3079,28.3223,27.9218,0.131072,1.34144,0.008256,0.00608,0.137216,0.208896,0.1896,25.6766,0.22256
561,33.8333,29.5566,28.0996,0.144384,1.50323,0.019552,0.005024,0.14336,0.189728,0.189152,25.6737,0.231424
562,33.762,29.6191,26.8172,0.133504,1.45178,0.008288,0.004608,0.140288,0.187392,0.188064,24.4801,0.223232
563,34.7072,28.8125,28.3525,0.133184,1.76736,0.008192,0.006176,0.153568,0.187904,0.191008,25.6768,0.228288
564,32.3028,30.957,26.9476,0.131072,1.62752,0.00784,0.019072,0.143712,0.188,0.186816,24.422,0.221664
565,37.3396,26.7812,26.7838,0.129536,1.44707,0.008288,0.004832,0.141088,0.19408,0.19712,24.4389,0.22288
566,34.4688,29.0117,29.0837,0.130368,1.66774,0.008224,0.005664,0.137696,0.200704,0.188416,26.5212,0.22368
567,32.6781,30.6016,26.8147,0.133184,1.48947,0.008192,0.005664,0.139744,0.187424,0.18736,24.4388,0.224832
568,35.1769,28.4277,26.7664,0.132096,1.44077,0.008224,0.006112,0.139264,0.187968,0.187936,24.4372,0.226848
569,34.9751,28.5918,27.9372,0.129632,1.39366,0.00832,0.004768,0.138592,0.186816,0.198752,25.6548,0.22176
570,33.6731,29.6973,26.7563,0.130336,1.44227,0.008288,0.005568,0.135936,0.188512,0.18832,24.4347,0.222368
571,35.119,28.4746,26.7991,0.1304,1.49318,0.00848,0.005568,0.135968,0.189632,0.189248,24.4241,0.222592
572,35.0949,28.4941,28.0777,0.145408,1.48653,0.008288,0.005728,0.139264,0.189088,0.19216,25.6781,0.23312
573,33.8781,29.5176,27.1384,0.131488,1.43971,0.008224,0.006112,0.138336,0.186656,0.188544,24.8151,0.224256
574,34.1835,29.2539,27.6136,0.130976,1.52419,0.020352,0.0056,0.139936,0.610336,0.515232,24.443,0.223968
575,35.0205,28.5547,27.9144,0.129376,1.37194,0.008224,0.005664,0.137248,0.186592,0.18816,25.6655,0.221664
576,33.1864,30.1328,26.8744,0.129536,1.55238,0.009312,0.005024,0.139104,0.188608,0.190432,24.4363,0.22368
577,34.0109,29.4023,28.3287,0.14416,1.72458,0.007776,0.004512,0.147424,0.190624,0.193696,25.6923,0.223648
578,32.5038,30.7656,28.0953,0.133728,1.47011,0.00832,0.005696,0.13808,0.18784,0.188608,25.7335,0.229376
579,36.1505,27.6621,26.8108,0.12944,1.4848,0.008224,0.006112,0.137216,0.187456,0.188544,24.443,0.226048
580,35.0157,28.5586,26.7708,0.131072,1.44522,0.0232,0.006144,0.13824,0.195264,0.188512,24.4199,0.223264
581,35.1842,28.4219,29.1515,0.139872,1.35168,0.008352,0.005984,0.141184,0.186656,0.190304,26.9046,0.222912
582,31.7401,31.5059,26.9012,0.13168,1.59677,0.008352,0.004896,0.141216,0.188064,0.188256,24.4181,0.223872
583,33.1735,30.1445,27.369,0.134304,2.03632,0.008288,0.01456,0.139264,0.187648,0.188736,24.4328,0.22704
584,36.5767,27.3398,28.0356,0.129696,1.47658,0.008352,0.005984,0.139264,0.188224,0.188608,25.6758,0.223072
585,33.6289,29.7363,26.8024,0.12928,1.48992,0.008288,0.004928,0.139264,0.188256,0.190272,24.4302,0.221984
586,35.1238,28.4707,27.898,0.129984,1.71622,0.008224,0.006112,0.13856,0.189152,0.190464,25.2966,0.222656
587,34.236,29.209,28.0414,0.130944,1.44765,0.00832,0.004736,0.14128,0.188064,0.188384,25.7069,0.22512
