,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-919,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,30.3826,32.9281,31.7783,0.0824424,0.845362,0.00757084,0.00581197,0.069435,0.116704,0.119808,30.4173,0.113786
max_1024,33.3877,36.377,34.1108,0.09808,2.63101,0.024544,0.020736,0.086048,0.137248,0.417792,31.9758,0.451776
min_1024,27.4899,29.9512,31.0341,0.079872,0.748896,0.006144,0.004096,0.067584,0.112864,0.115552,29.7381,0.111072
512,31.1454,32.1074,32.477,0.079872,0.980224,0.006912,0.005792,0.069088,0.11472,0.1176,30.99,0.112832
513,29.7986,33.5586,32.4765,0.082048,0.896896,0.007168,0.00512,0.068832,0.116768,0.118944,31.0667,0.114048
514,29.6605,33.7148,31.3672,0.083808,0.893056,0.006176,0.006144,0.068992,0.115456,0.119808,29.9529,0.120832
515,30.2636,33.043,32.4465,0.079872,0.922656,0.007072,0.005216,0.068576,0.12288,0.120096,31.0075,0.11264
516,30.0522,33.2754,31.2668,0.079936,0.788576,0.008096,0.005664,0.06816,0.118784,0.118784,29.9654,0.113376
517,30.6019,32.6777,32.3868,0.082016,0.760032,0.00624,0.006048,0.069024,0.115392,0.120512,31.1147,0.112928
518,29.6691,33.7051,32.4624,0.081536,0.901248,0.0064,0.006144,0.068992,0.115328,0.119872,31.0503,0.112576
519,29.6829,33.6895,31.4539,0.082656,0.908608,0.006848,0.005408,0.06832,0.115904,0.117568,30.0354,0.113248
520,30.6605,32.6152,31.3783,0.083872,0.8992,0.006976,0.005824,0.067904,0.116736,0.118432,29.9662,0.11312
521,30.6918,32.582,32.4811,0.08384,0.8928,0.0064,0.00576,0.067968,0.116576,0.131232,31.0633,0.113216
522,29.8125,33.543,31.3014,0.083232,0.79744,0.007936,0.005632,0.06832,0.116672,0.118848,29.9889,0.114496
523,28.7705,34.7578,31.602,0.083104,1.08221,0.007328,0.00496,0.068896,0.117024,0.118656,30.0058,0.113952
524,32.3764,30.8867,32.5284,0.084,0.921568,0.008032,0.005632,0.068256,0.116736,0.118752,31.0943,0.111136
525,27.4899,36.377,31.4134,0.081248,0.92128,0.015328,0.006144,0.073728,0.116384,0.118656,29.9668,0.113792
526,33.3877,29.9512,31.2689,0.081952,0.767488,0.006624,0.006048,0.06896,0.117504,0.118784,29.9889,0.11264
527,30.5562,32.7266,32.4119,0.082144,0.827424,0.007584,0.004672,0.069216,0.115104,0.118784,31.0734,0.113568
528,29.952,33.3867,32.417,0.083328,0.85824,0.006656,0.00608,0.067776,0.116608,0.118816,31.0473,0.112128
529,29.726,33.6406,31.3894,0.081568,0.864064,0.006688,0.005568,0.06816,0.116544,0.11888,30.0135,0.1144
530,30.6771,32.5977,32.6148,0.0824,0.929472,0.006752,0.005952,0.0688,0.115712,0.118784,31.1739,0.113024
531,29.5084,33.8887,31.363,0.080448,0.876448,0.00624,0.006048,0.067808,0.11664,0.118752,29.9766,0.114016
532,30.784,32.4844,32.3906,0.083968,0.856064,0.007584,0.01664,0.069152,0.115456,0.117952,31.0015,0.122304
533,29.8316,33.5215,32.4267,0.082624,0.857472,0.006848,0.005216,0.06848,0.11472,0.118816,31.0599,0.112544
534,29.9661,33.3711,31.269,0.082656,0.76,0.006144,0.006144,0.069216,0.115136,0.118752,29.9971,0.113856
535,30.8731,32.3906,32.3525,0.082176,0.777408,0.006976,0.00528,0.068448,0.116736,0.120224,31.0626,0.11264
536,29.707,33.6621,32.4636,0.08208,0.885248,0.006336,0.006144,0.071328,0.11504,0.118784,31.062,0.116576
537,29.7848,33.5742,31.3204,0.082176,0.821056,0.00688,0.005376,0.074464,0.11648,0.118304,29.9827,0.112896
538,29.952,33.3867,31.5195,0.081952,0.983776,0.007552,0.004864,0.069504,0.118784,0.118784,30.0209,0.11344
539,31.4496,31.7969,32.381,0.08192,0.810976,0.006368,0.005952,0.067616,0.12288,0.119968,31.0526,0.112672
540,29.9801,33.3555,31.2752,0.082496,0.8352,0.006528,0.006144,0.068704,0.115392,0.118496,29.9279,0.114304
541,30.9366,32.3242,31.3034,0.081536,0.78928,0.0072,0.005088,0.06912,0.115232,0.118784,30.0032,0.113952
542,30.7083,32.5645,32.4145,0.081952,0.819968,0.008,0.005664,0.069664,0.115328,0.118752,31.0824,0.112768
543,30.0452,33.2832,32.34,0.081632,0.784704,0.007168,0.00512,0.068992,0.11536,0.12016,31.0442,0.112672
544,30.0858,33.2383,31.242,0.082016,0.759232,0.007072,0.005664,0.068096,0.114688,0.118784,29.9738,0.112704
545,31.0115,32.2461,32.3562,0.080576,0.763872,0.00784,0.004448,0.069632,0.11616,0.117344,31.0841,0.11216
546,30.0293,33.3008,31.2832,0.083136,0.763744,0.00704,0.005664,0.06816,0.116576,0.118336,30.0078,0.112768
547,30.7859,32.4824,32.426,0.08384,0.831616,0.00768,0.004608,0.069408,0.11472,0.118976,31.0825,0.11264
548,29.6984,33.6719,32.5111,0.083968,0.907264,0.007616,0.004896,0.069088,0.116288,0.13184,31.0758,0.114336
549,29.568,33.8203,31.3815,0.09424,0.898176,0.007008,0.005312,0.068416,0.116736,0.11776,29.9612,0.11264
550,30.5672,32.7148,32.3379,0.08304,0.772704,0.006464,0.006144,0.068928,0.115392,0.118464,31.0532,0.113568
551,29.9415,33.3984,32.378,0.083616,0.807264,0.006144,0.006144,0.067584,0.116512,0.119008,31.0579,0.11376
552,29.7415,33.623,31.4266,0.08192,0.873632,0.007008,0.014016,0.067936,0.117824,0.119008,30.0305,0.114688
553,30.9815,32.2773,31.2163,0.081632,0.777152,0.00784,0.004448,0.069248,0.115072,0.118784,29.9292,0.112896
554,31.0265,32.2305,32.3584,0.083072,0.772256,0.00688,0.005856,0.06896,0.115648,0.117984,31.0751,0.112672
555,29.2755,34.1582,31.4542,0.08192,0.933888,0.007264,0.013216,0.077824,0.124288,0.116928,29.9852,0.113696
556,30.8063,32.4609,31.3888,0.08192,0.897056,0.008064,0.005632,0.068192,0.115904,0.11776,29.9805,0.113792
557,30.7471,32.5234,32.4754,0.082208,0.87616,0.006496,0.005792,0.06896,0.115712,0.118784,31.09,0.111328
558,29.3679,34.0508,32.4362,0.081952,0.822784,0.006624,0.006112,0.068672,0.11568,0.118432,31.0745,0.141504
559,29.4524,33.9531,31.3634,0.082272,0.822272,0.007072,0.004192,0.083968,0.12288,0.118784,30.0089,0.113088
560,31.3035,31.9453,32.3236,0.083968,0.772096,0.007232,0.005088,0.069216,0.115072,0.120224,31.038,0.11264
561,29.91,33.4336,31.2834,0.082688,0.775264,0.007072,0.00528,0.068448,0.116192,0.118848,29.9972,0.11248
562,30.7711,32.498,32.3748,0.081952,0.778208,0.007584,0.004928,0.069248,0.114848,0.120224,31.0852,0.112608
563,29.8908,33.4551,32.3729,0.080864,0.817184,0.007552,0.004704,0.069472,0.115936,0.121824,31.0415,0.113824
564,29.9854,33.3496,31.2866,0.084,0.774112,0.007968,0.005664,0.068288,0.116096,0.119328,29.9972,0.113952
565,30.6422,32.6348,31.3032,0.082112,0.833504,0.006144,0.006144,0.068768,0.115552,0.118784,29.9594,0.1128
566,31.0171,32.2402,32.3521,0.080096,0.784352,0.008064,0.005664,0.068192,0.11472,0.118752,31.06,0.112288
