,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-919,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,836.92,1.2443,0.750228,0.00707663,0.253149,0.00633034,0.00521488,0.00645113,0.0105325,0.0114433,0.439997,0.0100339
max_1024,1678.69,3.44324,1.44592,0.038144,0.54624,0.04624,0.01568,0.043232,0.020512,0.027264,1.1487,0.268512
min_1024,290.424,0.595703,0.62656,0.006144,0.214336,0.004576,0.004064,0.004864,0.008736,0.010144,0.351904,0.006336
512,974.542,1.02612,0.828928,0.00656,0.401216,0.00576,0.004672,0.006176,0.017824,0.010816,0.368096,0.007808
513,785.577,1.27295,0.641152,0.006752,0.221184,0.006144,0.005984,0.006304,0.009888,0.010624,0.366464,0.007808
514,872.046,1.14673,0.681984,0.006144,0.259072,0.00512,0.005536,0.006304,0.010336,0.010592,0.372128,0.006752
515,906.596,1.10303,0.697216,0.006784,0.255456,0.004992,0.006048,0.006144,0.01024,0.01024,0.39024,0.007072
516,875.588,1.14209,1.07523,0.006208,0.23712,0.005824,0.004832,0.006144,0.011328,0.0112,0.783776,0.0088
517,591.865,1.68958,0.65536,0.006144,0.229376,0.006144,0.006144,0.006144,0.01024,0.011808,0.371168,0.008192
518,772.539,1.29443,0.704224,0.007296,0.281472,0.005792,0.004448,0.006144,0.011776,0.010784,0.368608,0.007904
519,957.121,1.0448,0.67184,0.006624,0.249888,0.005888,0.0056,0.006336,0.009952,0.011104,0.36864,0.007808
520,829.906,1.20496,0.666432,0.006816,0.243968,0.006176,0.004064,0.007264,0.010912,0.01168,0.367456,0.008096
521,1048.51,0.953735,0.669344,0.006176,0.249216,0.00576,0.005088,0.006144,0.01024,0.012288,0.364544,0.009888
522,540.655,1.84961,0.679936,0.009536,0.256704,0.006144,0.005408,0.006304,0.010848,0.010208,0.366592,0.008192
523,1064.73,0.939209,0.983296,0.00688,0.224928,0.00576,0.005088,0.007936,0.010208,0.01056,0.702432,0.009504
524,707.121,1.41418,0.638976,0.006176,0.221152,0.005856,0.004384,0.007392,0.01104,0.011552,0.364448,0.006976
525,932.499,1.07239,0.677248,0.006304,0.247808,0.006144,0.005568,0.00576,0.009152,0.011712,0.376992,0.007808
526,582.604,1.71643,0.68848,0.006496,0.2576,0.005792,0.004832,0.006208,0.010272,0.012096,0.376992,0.008192
527,965.127,1.03613,0.669056,0.008192,0.239616,0.006144,0.004192,0.006144,0.010144,0.011968,0.375104,0.007552
