,fps,duration,cudaTotal,kernUpdateVelocityBruteForce-802,kernUpdatePos-803
avg_1024,25.2373,70.8062,52.7064,52.6984,0.00795366
max_1024,6649.35,18073.1,57.1941,57.1843,0.022592
min_1024,0.0553308,0.150391,49.5667,49.5585,0.006432
512,6649.35,0.150391,52.0298,52.0228,0.006976
513,0.0553308,18073.1,53.239,53.2312,0.007808
514,20.4931,48.7969,52.0212,52.0131,0.008192
515,19.032,52.543,53.2439,53.2368,0.007136
516,18.7189,53.4219,52.0547,52.0465,0.008192
517,18.8575,53.0293,50.903,50.8948,0.008192
518,19.4795,51.3359,53.2478,53.2398,0.008032
519,18.5776,53.8281,52.0558,52.0481,0.007744
520,18.9805,52.6855,54.6857,54.6775,0.008224
521,18.0868,55.2891,53.2157,53.2088,0.00688
522,18.5763,53.832,52.3244,52.3143,0.010112
523,18.8492,53.0527,52.7794,52.7715,0.007936
524,18.798,53.1973,53.204,53.1969,0.007072
525,18.6344,53.6641,53.2359,53.2293,0.00656
526,17.9077,55.8418,52.0151,52.0069,0.008192
527,19.5771,51.0801,53.241,53.2332,0.007872
528,18.5326,53.959,52.0376,52.0294,0.008192
529,18.9735,52.7051,52.0643,52.0561,0.008192
530,19.0938,52.373,53.2033,53.1963,0.007008
531,18.4798,54.1133,52.0465,52.0386,0.007872
532,19.1073,52.3359,53.2378,53.2297,0.008096
533,18.4199,54.2891,53.2603,53.2532,0.007104
534,18.4146,54.3047,52.0394,52.0315,0.007872
535,19.2171,52.0371,53.2213,53.2132,0.008128
536,18.6501,53.6191,53.2382,53.2302,0.008
537,18.546,53.9199,52.0457,52.0376,0.008032
538,18.9735,52.7051,53.5035,53.4951,0.008384
539,18.4884,54.0879,53.2316,53.2234,0.008192
540,18.3736,54.4258,52.0566,52.0497,0.006912
541,19.1552,52.2051,53.3038,53.2967,0.00704
542,17.9071,55.8438,53.2395,53.2317,0.00784
543,19.2851,51.8535,52.0403,52.0335,0.006784
544,18.9946,52.6465,53.2434,53.2356,0.007808
545,18.6019,53.7578,53.2274,53.2196,0.007776
546,18.579,53.8242,52.0551,52.0473,0.007808
547,18.8909,52.9355,53.2378,53.2296,0.00816
548,18.6705,53.5605,53.2477,53.24,0.007776
549,18.5125,54.0176,52.0398,52.032,0.007808
550,18.9834,52.6777,52.0143,52.0063,0.007936
551,19.054,52.4824,53.2395,53.2317,0.007744
552,18.4898,54.084,52.0376,52.0295,0.00816
553,19.1102,52.3281,52.0403,52.0321,0.008192
554,19.0391,52.5234,53.2316,53.2234,0.008192
555,18.577,53.8301,52.0481,52.04,0.008096
556,19.0597,52.4668,53.2312,53.2234,0.007808
557,18.6596,53.5918,53.2814,53.2732,0.008192
558,18.5487,53.9121,52.0381,52.0299,0.008192
559,18.9981,52.6367,53.2214,53.2102,0.011232
560,18.6344,53.6641,53.2364,53.2295,0.00688
561,18.5192,53.998,52.0495,52.0418,0.007776
562,18.9321,52.8203,52.035,52.0273,0.007744
563,18.5851,53.8066,53.2129,53.205,0.007872
564,19.0753,52.4238,52.0172,52.0104,0.006816
565,18.9763,52.6973,53.3037,53.2955,0.008192
566,18.3941,54.3652,53.2726,53.2644,0.008192
567,18.665,53.5762,52.052,52.0452,0.006784
568,19.0611,52.4629,53.2443,53.2366,0.007712
569,18.6555,53.6035,53.2132,53.2062,0.007008
570,18.5259,53.9785,52.0229,52.0151,0.00784
571,18.8388,53.082,53.2766,53.2688,0.00784
572,18.7436,53.3516,53.2598,53.25,0.00976
573,18.5952,53.7773,52.0315,52.0246,0.006912
574,18.9398,52.7988,52.0432,52.0355,0.007712
575,19.0682,52.4434,53.2548,53.2481,0.006624
576,18.3526,54.4883,52.0297,52.0215,0.008192
577,19.2026,52.0762,52.016,52.0091,0.006976
578,19.1159,52.3125,53.2229,53.2152,0.007712
579,18.6182,53.7109,52.0693,52.0611,0.008192
580,18.8888,52.9414,53.2126,53.2048,0.007808
581,18.7217,53.4141,53.2049,53.1971,0.007744
582,18.5608,53.877,52.0233,52.0151,0.008192
583,18.71,53.4473,53.2439,53.2357,0.008192
584,18.8339,53.0957,53.2461,53.238,0.008192
585,18.1928,54.9668,52.04,52.0331,0.006944
586,19.4006,51.5449,52.0402,52.0322,0.008064
587,19.0583,52.4707,53.2275,53.2205,0.006976
588,18.6446,53.6348,52.0154,52.0073,0.008032
589,19.0327,52.541,52.0417,52.0335,0.008192
590,19.0172,52.584,53.222,53.215,0.006976
591,18.5918,53.7871,52.0576,52.0499,0.007712
592,19.0151,52.5898,52.0253,52.0182,0.007168
593,18.6128,53.7266,53.2113,53.2031,0.008192
594,18.9862,52.6699,52.0387,52.0309,0.007744
595,18.6535,53.6094,53.2174,53.2096,0.007776
596,18.8263,53.1172,53.2275,53.2193,0.008192
597,18.6128,53.7266,52.0479,52.041,0.006848
598,18.7683,53.2812,53.2275,53.2193,0.008192
599,18.8173,53.1426,53.2467,53.2396,0.007072
600,18.5857,53.8047,52.0315,52.0233,0.008192
601,18.877,52.9746,53.2148,53.207,0.00784
602,18.678,53.5391,53.2357,53.2275,0.008192
603,18.4938,54.0723,53.2437,53.2357,0.008032
604,18.6555,53.6035,52.0613,52.0535,0.007808
605,18.9939,52.6484,53.2446,53.222,0.022592
606,18.5696,53.8516,52.0423,52.0341,0.008192
607,18.9286,52.8301,52.2997,52.2916,0.008096
608,18.9363,52.8086,54.006,53.9991,0.006944
609,18.0129,55.5156,52.0359,52.0281,0.007872
610,19.3573,51.6602,55.1105,55.1023,0.00816
611,17.9347,55.7578,53.2378,53.2306,0.007168
612,18.6643,53.5781,52.3387,52.3298,0.008896
613,18.8624,53.0156,52.829,52.821,0.008064
614,18.7876,53.2266,53.2285,53.2203,0.008192
615,18.5763,53.832,52.0581,52.0499,0.008192
616,19.042,52.5156,52.0406,52.0324,0.008192
617,18.2922,54.668,54.3988,54.3908,0.008
618,18.8624,53.0156,52.0207,52.013,0.00768
619,18.9489,52.7734,53.2394,53.2316,0.00784
620,18.6467,53.6289,53.2357,53.2278,0.007936
621,18.5979,53.7695,52.3162,52.308,0.008192
622,18.854,53.0391,52.8392,52.8311,0.008096
623,18.7642,53.293,53.2104,53.2025,0.00784
624,18.5884,53.7969,52.0437,52.0356,0.008096
625,18.1754,55.0195,52.0256,52.0186,0.007008
626,19.5853,51.0586,53.2269,53.219,0.007904
627,18.5185,54,52.0524,52.0442,0.008192
628,18.9069,52.8906,52.0479,52.0397,0.008192
629,18.9967,52.6406,53.2608,53.2537,0.007072
630,18.575,53.8359,52.0357,52.0279,0.007808
631,19.0306,52.5469,52.0453,52.0376,0.007744
632,18.963,52.7344,53.2358,53.2276,0.008192
633,18.5952,53.7773,52.0512,52.0434,0.007744
