,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-919,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,744.518,1.39892,0.919129,0.00888756,0.274281,0.0118885,0.0109816,0.0174519,0.0165047,0.0151436,0.55149,0.0125002
max_1024,1575.08,3.78247,1.79376,0.044512,0.749216,0.081312,0.057344,0.057376,0.042304,0.031872,1.37712,0.026656
min_1024,264.377,0.634888,0.7824,0.007072,0.217088,0.0088,0.009024,0.014624,0.014432,0.014176,0.464896,0.010752
512,798.518,1.25232,0.99376,0.00816,0.409888,0.010592,0.014208,0.02192,0.014944,0.015776,0.485984,0.012288
513,564.382,1.77185,0.806528,0.00848,0.229728,0.010208,0.011424,0.017248,0.016416,0.015392,0.485376,0.012256
514,444.348,2.25049,0.816704,0.01024,0.245728,0.010272,0.01024,0.018432,0.016288,0.014432,0.478976,0.012096
515,842.538,1.18689,0.793184,0.008576,0.22528,0.010464,0.00992,0.017792,0.015296,0.015424,0.478144,0.012288
516,840.378,1.18994,1.06499,0.009248,0.220128,0.01024,0.010464,0.018208,0.016384,0.015392,0.750208,0.01472
517,668.462,1.49597,0.789888,0.008192,0.223232,0.012256,0.010272,0.01808,0.015936,0.01504,0.474624,0.012256
518,832.013,1.2019,1.58179,0.00848,0.229312,0.010752,0.01024,0.018432,0.016352,0.014368,1.25952,0.014336
519,504.216,1.98328,0.799584,0.00848,0.223296,0.010528,0.010464,0.018016,0.016128,0.014848,0.485568,0.012256
520,830.326,1.20435,0.811488,0.008576,0.223328,0.01024,0.01024,0.018432,0.016384,0.014336,0.497664,0.012288
521,818.954,1.22107,1.18595,0.008672,0.227424,0.01024,0.01024,0.018432,0.016064,0.014656,0.868096,0.012128
522,604.442,1.65442,0.823552,0.008448,0.220768,0.01184,0.011104,0.018432,0.016416,0.020448,0.503808,0.012288
523,848.472,1.17859,1.45514,0.009632,0.47888,0.012672,0.01056,0.017888,0.016544,0.014816,0.88192,0.012224
524,532.986,1.87622,0.808736,0.008192,0.229216,0.0104,0.010272,0.01808,0.01632,0.01456,0.489504,0.012192
525,819.282,1.22058,0.80048,0.008192,0.222272,0.010528,0.010336,0.01696,0.016384,0.014336,0.489344,0.012128
526,831.844,1.20215,1.19757,0.008192,0.217088,0.01024,0.01024,0.018208,0.016608,0.0144,0.890368,0.012224
527,631.709,1.58301,0.802816,0.008224,0.227296,0.011392,0.011136,0.018432,0.016384,0.014336,0.483328,0.012288
528,550.797,1.81555,0.8008,0.011264,0.22528,0.010528,0.010496,0.018464,0.015968,0.01488,0.4816,0.01232
529,841.932,1.18774,0.798816,0.008288,0.221184,0.012256,0.010272,0.017984,0.016064,0.014592,0.485888,0.012288
530,831.844,1.20215,0.80752,0.00848,0.22144,0.012096,0.010432,0.018048,0.01648,0.014624,0.494816,0.011104
531,827.391,1.20862,1.00278,0.00832,0.421056,0.010624,0.010496,0.018624,0.01632,0.0144,0.490624,0.01232
532,664.611,1.50464,0.825568,0.008416,0.247232,0.010528,0.010528,0.020192,0.016,0.01504,0.485344,0.012288
533,497.45,2.01025,0.811808,0.010688,0.233024,0.01056,0.010464,0.01664,0.016384,0.016032,0.485728,0.012288
534,808.448,1.23694,0.798752,0.009344,0.222112,0.010208,0.010272,0.0184,0.016384,0.014336,0.485376,0.01232
535,631.855,1.58264,0.804064,0.008256,0.2224,0.011008,0.01024,0.023616,0.015296,0.015552,0.485568,0.012128
536,1086.47,0.92041,0.983072,0.008224,0.409536,0.010304,0.010528,0.019616,0.014912,0.015648,0.482016,0.012288
537,696.125,1.43652,0.807296,0.00848,0.22944,0.010272,0.010304,0.018368,0.016384,0.014336,0.487424,0.012288
538,482.763,2.07141,0.811008,0.010368,0.227136,0.010336,0.01024,0.0184,0.016128,0.014592,0.49152,0.012288
539,814.395,1.22791,0.802816,0.009216,0.228352,0.01024,0.01024,0.018176,0.015968,0.014944,0.483392,0.012288
540,845.408,1.18286,0.800768,0.009216,0.225344,0.0112,0.010272,0.0176,0.016192,0.014912,0.48512,0.010912
541,747.104,1.3385,0.8024,0.008192,0.227136,0.01152,0.010496,0.017088,0.016384,0.014336,0.484832,0.012416
542,793.568,1.26013,1.12899,0.008736,0.222848,0.01056,0.010272,0.020096,0.015968,0.01456,0.811584,0.014368
543,557.127,1.79492,0.821792,0.008704,0.2288,0.010496,0.010496,0.018048,0.014816,0.01552,0.502624,0.012288
544,819.2,1.2207,0.793568,0.008672,0.222912,0.010528,0.0104,0.018112,0.01632,0.01456,0.479776,0.012288
545,843.319,1.18579,0.794624,0.008192,0.222464,0.011008,0.01024,0.018432,0.015936,0.014496,0.481568,0.012288
546,518.514,1.92859,0.843776,0.008192,0.251552,0.010464,0.013536,0.020928,0.02096,0.01552,0.490336,0.012288
547,1063.34,0.94043,1.16685,0.008224,0.245184,0.010784,0.0104,0.02032,0.016416,0.014336,0.826432,0.014752
548,603.418,1.65723,0.800768,0.00976,0.231168,0.010976,0.01024,0.018464,0.015936,0.014752,0.477184,0.012288
549,820.431,1.21887,0.799808,0.008192,0.223232,0.01152,0.010496,0.018208,0.016576,0.01488,0.484416,0.012288
550,832.859,1.20068,0.80528,0.008416,0.225472,0.01024,0.01024,0.018432,0.016384,0.015936,0.487872,0.012288
551,821.006,1.21802,0.980992,0.008192,0.4096,0.01024,0.01216,0.01856,0.016288,0.014432,0.479232,0.012288
552,719.354,1.39014,1.15712,0.008192,0.227328,0.01024,0.01024,0.02048,0.016352,0.014368,0.835168,0.014752
553,467.794,2.1377,0.89888,0.009312,0.304032,0.011296,0.010464,0.0248,0.029216,0.015904,0.481664,0.012192
554,1014.24,0.985962,0.796544,0.008192,0.224256,0.010496,0.01056,0.016864,0.01632,0.014368,0.48336,0.012128
