,fps,duration,cudaTotal,kernComputeIndices-836,thrust::sort_by_key-840,kernResetIntBuffer-846,kernResetIntBuffer-847,kernIdentifyCellStartEnd-850,kernUpdateVelNeighborSearchScattered-857,kernUpdatePos-862
avg_1024,346.53,2.92138,1.3472,0.0110664,0.249584,0.00507469,0.00558628,0.00727044,1.0582,0.0104166
max_1024,423.228,5.88037,1.71782,0.028128,0.608128,0.020576,0.022304,0.024544,1.16941,0.026944
min_1024,170.057,2.36279,1.23142,0.009088,0.223936,0.004064,0.004544,0.006112,0.960512,0.00912
512,369.675,2.70508,1.25808,0.01088,0.237568,0.005568,0.004704,0.007872,0.98112,0.010368
513,348.952,2.86572,1.29411,0.01152,0.281088,0.004352,0.006144,0.006272,0.974528,0.010208
514,315.222,3.17236,1.24016,0.010336,0.241216,0.004576,0.005824,0.006432,0.960512,0.011264
515,380.386,2.62891,1.23142,0.010816,0.22896,0.004512,0.00592,0.006368,0.964608,0.01024
516,392.638,2.54688,1.27443,0.010752,0.25712,0.004928,0.00544,0.007008,0.978944,0.01024
517,394.225,2.53662,1.23984,0.010432,0.229984,0.005888,0.00544,0.007104,0.970752,0.01024
518,371.823,2.68945,1.2329,0.010368,0.22848,0.004864,0.005504,0.006816,0.966592,0.010272
519,309.834,3.22754,1.27802,0.010624,0.23664,0.004928,0.005472,0.00688,1.00349,0.009984
520,372.635,2.68359,1.24314,0.011936,0.231808,0.005504,0.004704,0.007936,0.971008,0.01024
521,364.802,2.74121,1.24512,0.011808,0.235296,0.0048,0.005664,0.006624,0.970688,0.01024
522,381.485,2.62134,1.24224,0.011392,0.230304,0.005408,0.0048,0.007712,0.972416,0.010208
523,382.161,2.6167,1.2649,0.01168,0.228992,0.004992,0.005536,0.006848,0.996544,0.010304
524,340.086,2.94043,1.25542,0.01024,0.231424,0.005216,0.005024,0.007648,0.985632,0.01024
525,353.927,2.82544,1.2736,0.011488,0.244512,0.00592,0.005504,0.007008,0.988896,0.010272
526,342.962,2.91577,1.26634,0.010944,0.253952,0.005824,0.005472,0.007104,0.972832,0.010208
527,380.386,2.62891,1.24906,0.011296,0.239712,0.004992,0.005792,0.006496,0.9704,0.010368
