,fps,duration,cudaTotal,kernComputeIndices-905,thrust::sort_by_key-909,kernResetIntBuffer-915,kernResetIntBuffer-916,kernIdentifyCellStartEnd-919,kernReshuffle-925,kernReshuffle-926,kernUpdateVelNeighborSearchCoherent-929,kernUpdatePos-934
avg_1024,84.4237,12.2503,9.23137,0.0700764,0.932612,0.00845431,0.00580909,0.0296822,0.0983383,0.107791,7.85541,0.12319
max_1024,101.206,109.598,17.8348,0.24544,3.20515,0.059616,0.022528,0.057088,0.144128,0.93616,16.5129,1.01376
min_1024,9.12428,9.88086,8.2624,0.065536,0.76304,0.00624,0.00448,0.028544,0.096256,0.096512,7.05738,0.111328
512,83.7868,11.9351,9.6192,0.065536,0.829408,0.008224,0.00576,0.029056,0.098112,0.09952,8.36643,0.117152
513,84.3388,11.8569,9.59405,0.06944,0.827264,0.00832,0.0056,0.029408,0.097568,0.098368,8.34218,0.115904
514,86.5779,11.5503,9.5232,0.069024,0.779936,0.008352,0.004896,0.029856,0.09712,0.098304,8.32102,0.114688
515,81.2505,12.3076,9.20378,0.07168,0.763104,0.008032,0.005056,0.029792,0.097184,0.098464,8.01766,0.1128
516,77.2451,12.9458,10.1449,0.069344,1.40112,0.007872,0.005568,0.029248,0.098304,0.098176,8.31872,0.116576
517,89.3855,11.1875,9.23856,0.069632,0.816128,0.007168,0.00592,0.028896,0.096256,0.098304,8.00154,0.11472
518,92.4021,10.8223,8.73597,0.069472,0.845984,0.008288,0.006048,0.028672,0.098304,0.098304,7.46678,0.114112
519,87.1267,11.4775,9.42694,0.068736,0.801696,0.00816,0.00576,0.029056,0.09824,0.098368,8.20019,0.116736
520,79.8627,12.5215,9.55555,0.069216,0.797088,0.008192,0.005984,0.028832,0.098304,0.098304,8.33696,0.112672
521,92.4355,10.8184,8.7743,0.085696,0.873408,0.00816,0.005632,0.028832,0.09664,0.098304,7.46496,0.112672
522,89.3543,11.1914,9.1095,0.069632,0.858112,0.008192,0.006144,0.028672,0.099648,0.098368,7.824,0.116736
523,89.6202,11.1582,8.68317,0.069024,0.799616,0.008448,0.005888,0.028672,0.098304,0.098208,7.45891,0.116096
524,91.818,10.8911,8.26944,0.071648,0.772128,0.008192,0.005984,0.028832,0.098304,0.099968,7.06723,0.117152
525,84.4606,11.8398,8.7416,0.069472,0.838528,0.008096,0.005632,0.029184,0.104032,0.104608,7.46736,0.114688
